FIELD;VALUE;;;;
smile_file;20161014 XLK;;;;
smile_file_path;E:\\Datos\\bolsa\\cuenta personal\\analisis de valores\\Trades activos\\Scanning\\20161014;;;;
option_type;put;;;;
ticker;XLK;;;;
expiration_yy;2016;;;;
expiration_mm;10;;;;
expiration_dd;21;;;;
strike_buy;46;;;;
entry_date_yy_buy;2016;;;;
entry_date_mm_buy;10;;;;
entry_date_dd_buy;14;;;;
entry_date_hh_buy;9;;;;
entry_date_MM_buy;45;;;;
entry_date_ss_buy;6;;;;
strike_write;47;;;;
entry_date_yy_write;2016;;;;
entry_date_mm_write;10;;;;
entry_date_dd_write;14;;;;
entry_date_hh_write;9;;;;
entry_date_MM_write;51;;;;
entry_date_ss_write;56;;;;
historical_volatility;0;;;;
